code,genus,species,functional.group,family,flowercolor,final.code,name,height,synonym,code.analysis
ACUL,Actinobole,uliginosum,NA,Asteraceae,NA,ACUL,Actinobole uliginosum,NA,NA,
AICU,Aira,cupaniana,grass,Poaceae,green,AICU,Aira cupaniana,NA,NA,
ANAR,Anagallis,arvensis,NA,Primulaceae,NA,ANAR,Anagallis arvensis,NA,NA,
ANTO,Angianthus,tomentosus,NA,Asteraceae,NA,ANTO,Angianthus tomentosus,NA,NA,
ARCA,Arctotheca,calendula,forb,Asteraceae,yellow,ARCA,Arctotheca calendula,308.64,NA,
ARCO,Aristida,contorta,grass,Poaceae,green,ARCO,Aristida contorta,NA,NA,
ARCU,Arthropodium,curvipes,forb,Asparagaceae,white,ARCU,Arthropodium curvipes,NA,NA,
ARDY,Arthropodium,dyeri,NA,Asparagaceae,NA,ARDY,Arthropodium dyeri,NA,NA,
ARTHRI,Arthropodium,NA,NA,Asparagaceae,NA,ARTHRI,Arthripodium sp,NA,NA,
ASTRO,Austrostipa,NA,grass,Poaceae,green,ASTRO,Austrostipa sp,NA,NA,
AUEL,Austrostipa,elegantissima,grass,Poaceae,green,ASTRO,Austrostipa elegantissima,NA,NA,
AUSTRO,Austrostipa,NA,grass,Poaceae,green,ASTRO,Austrostipa sp,NA,NA,
Austrostipa,Austrostipa,NA,grass,Poaceae,green,ASTRO,Austrostipa sp,NA,NA,
AVBA,Avena,barbata,grass,Poaceae,green,AVBA,Avena barbata,NA,NA,
BEGR,Bellida,graminea,NA,Asteraceae,NA,BEGR,Bellida graminea,NA,NA,
BLDR,Blennospora,drummondii,forb,Asteraceae,white,BLDR,Blennospora drummondii,NA,NA,
BOCO,Borya,constricta,shrub,Boryaceae,white,BOCO,Borya constricta,NA,NA,
BOSP,Borya,sphaerocephala,forb,Boryaceae,white,BOSP,Borya sphaerocephala,NA,NA,
BRAU,Brunonia,australis,forb,Goodeniaceae,blue,BRAU,Brunonia australis,NA,NA,
BRCE,Brachiyscome,cilaris,forb,Asteraceae,pink,BRCI,Brachyscome cilaris,NA,NA,
BRCI,Brachyscome,cilaris,NA,Asteraceae,pink,BRCI,Brachyscome cilaris,NA,NA,
BRDI,Bromus,diandrus,NA,Poaceae,NA,BRDI,Bromus diandrus,NA,NA,
BRIB,Brachyscome,iberidifolia,forb,Asteraceae,purple,BRIB,Brachyscome iberidifolia,106.25,NA,
BRMA,Briza,maxima,grass,Poaceae,green,BRMA,Briza maxima,NA,NA,
BROMUS,Bromus,NA,grass,Poaceae,green,BR,Bromus sp,NA,NA,
BRPE,Brachyscome,perpusilla,NA,Asteraceae,NA,BRPE,Brachyscome perpusilla,NA,NA,
BRRU,Bromus,rubens,NA,Poaceae,NA,BRRU,Bromus rubens,NA,NA,
BRTE,Brassica,tournefortii,NA,Brassicaceae,NA,BRTO,Brassica tournefortii,NA,NA,
BRTO,Brassica,tournefortii,NA,Brassicaceae,NA,BRTO,Brassica tournefortii,NA,NA,
BUCO,Burchardia,congesta,NA,Colchicaceae,NA,BUCO,Burchardia congesta,NA,NA,
BULB,Bulbine,,NA,Asphodelaceae,NA,BULP,Bulbine sp,NA,Not sure for name,
BUSE,Bulbine,semibarbata,NA,Asphodelaceae,NA,BUSE,Bulbine semibarbata,NA,NA,
CAAN,Carrichtera,annua,NA,Brassicaceae,NA,CAAN,Carrichtera annua,NA,NA,
CACO,Calandrinia,corrigioloides,NA,Portulacaceae,NA,CACO,Calandrinia corrigioloides,NA,NA,
CAER,Calandrinia,eremaea,forb,Montiaceae,green,CAER,Calandrinia eremaea,41.58,NA,
CAFL,Caladenia,flava,NA,Orchidaceae,NA,CAFL,Caladenia flava,NA,NA,
CAGR,Calandrinia,granulifera,NA,Portulacaceae,NA,CAGR,Calandrinia granulifera,NA,NA,
CAHI,Calotis,hispidula,forb,Asteraceae,green,CAHI,Calotis hispidula,51.09,NA,
CAHIE,Caladenia,hiemalis,NA,Orchidaceae,NA,CAHIE,Caladenia hiemalis,NA,NA,
CAHIR,Caladenia,hirta,NA,Orchidaceae,NA,CAHIR,Caladenia hirta,NA,NA,
CAMI,Caesia,micrantha,NA,Hemerocallidaceae,NA,CAMI,Caesia micrantha,NA,NA,
CAMU,Calotis,multicaulis,forb,Asteraceae,yellow,CAMU,Calotis multicaulis,51.09,Calocephalus multiflorus,
CARO,Caladenia,roei,NA,Orchidaceae,NA,CARO,Caladenia roei,NA,NA,
CEAR,Centrolepis,aristata,NA,Centrolepidaceae,NA,CEAR,Centrolepis aristata,NA,NA,
CEDR,Cephalipterum,drummondii,forb,Asteraceae,white,CEDR,Cephalipterum drummondii,NA,NA,
CENDR,Centrolepis,drummondiana,NA,Centrolepidaceae,NA,CENDR,Centrolepis drummondiana,NA,NA,
CEOB,Ceratogyne,obionoides,forb,Asteraceae,red,CEOB,Ceratogyne obionoides,51.75,NA,
CHENO,Chenopodium,NA,NA,Amaranthaceae,NA,CHENO,Chenopodium sp,NA,NA,
CHPS,Chthonocephalus,pseudevax,NA,Asteraceae,NA,CHPS,Chthonocephalus pseudevax,NA,NA,
CHVE,Chamaescilla,versicolor,NA,Asparagaceae,NA,CHVE,Chamaescilla versicolor,NA,NA,
COBI,Cotula,bipinnata,NA,Asteraceae,NA,COBI,Cotula bipinnata,NA,NA,
CRCL,Crassula,closiana,NA,Crassulaceae,NA,CRCL,Crassula closiana,NA,NA,
CRCO,Crassula,colorata,forb,Crassulaceae,green,CRCO,Crassula colorata,32.96,NA,
DAGL,Daucus,glochidiatus,forb,Apiaceae,pink/white,DAGL,Daucus glochidiatus,204.5,NA,
DALA,Dampiera,lavandulacea,forb,Goodeniaceae,purple,DALA,Dampiera lavandulacea,NA,NA,
DICA,Dichopogon,capillipes,NA,Asparagaceae,NA,DICA,Dichopogon capillipes,NA,NA,
DIRE,Dianella,revoluta,forb,Asphodelaceae,purple,DIRE,Dianella revoluta,NA,NA,
DRER,Drosera,erythrorhiza,NA,Droseraceae,NA,DRER,Drosera erythrorhiza,NA,NA,
DRGL,Drosera,glanduligera,NA,Droseraceae,NA,DRGL,Drosera glanduligera,NA,NA,
DRMA,Drosera,macrantha,forb,Droseraceae,white,DRMA,Drosera macrantha,NA,NA,
DRMAJ,Drosera,major,forb,Droseraceae,NA,DRMA,Drosera major,NA,NA,
DRMAMA,Drosera,macranthaera,forb,Droseraceae,white,DRMAMA,Drosera macranthaera,NA,NA,
DRSU,Drosera,su,forb,Droseraceae,NA,DRSU,Drosera sp,NA,NA,
ECPL,Echium,plantagineum,NA,Boraginaceae,NA,ECPL,Echium plantagineum,NA,NA,
EHLO,Ehrharta,longiflora,NA,Poaceae,NA,EHLO,Ehrharta longiflora,NA,NA,
ELSC,Elymus,scabra,NA,Poaceae,NA,ELSC,Elymus scabra,NA,NA,
ENTO,Enchylaena,tomentosa,NA,Chenopodiaceae,NA,ENTO,Enchylaena tomentosa,NA,NA,
ERAU,Erodium,aureum,NA,Geraniaceae,NA,ERAU,Erodium aureum,NA,NA,
ERBO,Erodium,botrys,NA,Geraniaceae,NA,ERBO,Erodium botrys,NA,NA,
ERCI,Erodium,cicutarium,NA,Geraniaceae,NA,ERCI,Erodium cicutarium,NA,NA,
ERCY,Erodium,cyngnorum,forb,Geraniaceae,purple,ERCY,Erodium cyngnorum,NA,NA,
ERLO,Erharta,longiflora,grass,Poaceae,green,ERLO,Erharta longiflora,306.25,NA,
EROD,Erodium,NA,forb,Geraniaceae,pink,EROD,Erodium sp,NA,NA,
Erodium,Erodium,NA,forb,Geraniaceae,pink,EROD,Erodium sp,NA,NA,
ERRA,Erymophyllum,ramosum,NA,Asteraceae,NA,ERRA,Erymophyllum ramosum,NA,NA,
EUDR,Euphorbia,drummondii,forb,Euphorbiaceae,red,EUDR,Euphorbia drummondii,NA,NA,
CHEI,Cheilanthes,sp,NA,Pteridaceae,NA,CHEI,Cheilanthes sp,NA,NA,
FERN,Cheilanthes,sp,NA,Pteridaceae,NA,CHEI,Cheilanthes sp,NA,NA,
FIMBRI,Fimbristylus,NA,NA,Cyperaceae,NA,FIMBRI,Fimbristylus sp,NA,NA,
GIOB,Gilruthia,osbornii,NA,Asteraceae,NA,GIOB,Gilruthia osbornii,NA,NA,
GITE,Gilberta,tenuifolia,forb,Asteraceae,yellow,GITE,Gilberta tenuifolia,86.22,NA,
GNTE,Gnephosis,tenuissima,NA,Asteraceae,NA,GNTE,Gnephosis tenuissima,NA,NA,
GOBE,Goodenia,berardiana,forb,Goodeniaceae,yellow,GOBE,Goodenia berardiana,126,NA,
GOCY,Goodenia,cycnopotamica,forb,Goodeniaceae,pink/white,GOCY,Goodenia cycnopotamica,NA,NA,
GOKR,Goodenia,krauseana,NA,Goodeniaceae,NA,GOKR,Goodenia krauseana,NA,NA,
GONO,Gonocarpus,nodulosus,forb,Haloragaceae,red,GONO,Gonocarpus nodulosus,130,NA,
GOOC,Goodenia,occidentalis,NA,Goodeniaceae,NA,GOOC,Goodenia occidentalis,NA,NA,
GOPU,Goodenia,pusilliflora,NA,Goodeniaceae,NA,GOPU,Goodenia pusilliflora,NA,NA,
GORO,Goodenia,rosea,forb,Goodeniaceae,pink/white,GORO,Goodenia rosea,NA,Velleia rosea,
GRPA,Grevillea,paniculata,NA,Proteaceae,NA,GRPA,Grevillea paniculata,NA,NA,
HAOD,Haloragis,odontocarpa,NA,Haloragaceae,NA,HAOD,Haloragis odontocarpa,NA,NA,
HIGL,Hibbertia,glomerosa,NA,Dilleniaceae,NA,HIGL,Hibbertia glomerosa,NA,NA,
HOLE,Hordeum,leporinum,NA,Poaceae,NA,HOLE,Hordeum leporinum,NA,NA,
HYDE,Hyalosperma,demissum,NA,Asteraceae,NA,HYDE,Hyalosperma demissum,NA,NA,
HYGA,Hypochaeris,glabra,forb,Asteraceae,yellow,HYGA,Hypochaeris glabra,9.25,NA,
HYGL,Hyalosperma,glutinosum,forb,Asteraceae,yellow,HYGL,Hyalosperma glutinosum,NA,NA,
HYPI,Hydrocotyle,pilifera,forb,Araliaceae,white,HYPI,Hydrocotyle pilifera,36.5,NA,
HYPO,Hypochaeris,glabra,NA,Asteraceae,NA,HYPO,Hypochaeris glabra,NA,NA,
IAWA,Waitzia,acuminata,forb,Asteraceae,yellow,WAAC,Waitzia acuminata,NA,NA,
ISGR,Isoetopsis,graminifolia,NA,Asteraceae,NA,ISGR,Isoetopsis graminifolia,NA,NA,
ISJU,Isotropis,juncea,NA,Fabaceae,NA,ISJU,Isotropis juncea,NA,NA,
JUBU,Juncus,bufonius,NA,Juncaceae,NA,JUBU,Juncus bufonius,NA,NA,
LAAU,Lamarkia,aurea,NA,Poaceae,NA,LAAU,Lamarkia aurea,NA,NA,
LADA,Lawrencella,davenportii,forb,Asteraceae,pink,LADA,Lawrencella davenportii,NA,NA,
LARO,Lawrencella,rosea,forb,Asteraceae,pink,LARO,Lawrencella rosea,NA,NA,
LEAF,Ophioglossum,lusitanicum,fern,Ophioglossaceae,green,OPLU,Ophioglossum lusitanicum,NA,NA,
LEBO,Lepidium,bonariense,NA,Brassicaceae,NA,LEBO,Lepidium bonariense,NA,NA,
LEDU,Levenhookia,dubia,forb,Stylidiaceae,white,LEDU,Levenhookia dubia,NA,NA,
LELE,Levenhookia,leptantha,NA,Stylidiaceae,NA,LELE,Levenhookia leptantha,NA,NA,
LERH,Leontodon,rhagadioloides,NA,Asteraceae,NA,LERH,Leontodon rhagadioloides,NA,NA,
LOEF,Lomandra,effusa,forb,Asparagaceae,white,LOEF,Lomandra effusa,NA,NA,
LOGI,Lobelia,gibbosa,forb,Campanulaceae,purple,LOGI,Lobelia gibbosa,NA,NA,
LOPE,Lolium,perenne,NA,Poaceae,NA,LOPE,Lolium perenne,NA,NA,
LYAR,Lysimachia,arvensis,NA,Primulaceae,NA,LYAR,Lysimachia arvensis,NA,NA,
MACA,Maireana,carnosa,NA,Chenopodiaceae,NA,MACA,Maireana carnosa,NA,NA,
MAIREA,Maireana,NA,NA,Chenopodiaceae,NA,MAIREA,Maireana sp,NA,NA,
MECR,Mesembryanthemum,crystallinum,NA,Aizoaceae,NA,MECR,Mesembryanthemum crystallinum,NA,NA,
MECY,Mesembryanthemum,crystallinum,NA,Aizoaceae,NA,MECR,Mesembryanthemum crystallinum,NA,NA,
MEDI,Medicago,,NA,Fabaceae,NA,MEDI,Medicago sp,,,unsure for name
MEMI,Medicago,minima,NA,Fabaceae,NA,MEMI,Medicago minima,NA,NA,
MENO,Mesembryanthemum,nodiflorum,NA,Aizoaceae,NA,MENO,Mesembryanthemum nodiflorum,NA,NA,
MEPO,Medicago,polymorpha,NA,Fabaceae,NA,MEPO,Medicago polymorpha,NA,NA,
MESP,Menkea,sphaerocarpa,NA,Brassicaceae,NA,MESP,Menkea sphaerocarpa,NA,NA,
MIMY,Millotia,myosotidifolia,forb,Asteraceae,white,MIMY,Millotia myosotidifolia,NA,NA,
MITE,Millotia,tenuifolia,forb,Asteraceae,yellow,MITE,Millotia tenuifolia,NA,NA,
MOFL,Moraea,flaccida,NA,Iridaceae,NA,MOFL,Moraea flaccida,NA,NA,
MOMO,Monoculus,monstrosus,forb,Asteraceae,yellow/red,MOMO,Monoculus monstrosus,NA,NA,
MOPA,Monachather paradoxus,paradoxus,grass,Poaceae,green,MOPA,Monachather paradoxus,NA,NA,
MOSE,Moraea,setifolia,NA,Iridaceae,NA,MOSE,Moraea setifolia,NA,NA,
MYGU,Myriocephalus,guerinae,NA,Asteraceae,NA,MYGU,Myriocephalus guerinae,NA,NA,
MYRH,Myriocephalus,rhizocephalus,NA,Asteraceae,NA,MYRH,Myriocephalus rhizocephalus,NA,NA,
Atriplex,Atriplex,sp,NA,Chenopodiaceae,NA,Atriplex,Atriplex sp,NA,NA,
Centrolepis,Centrolepis,sp,NA,Centrolepidaceae,NA,Centrolepis,Centrolepis sp,NA,NA,
Cuscuta,Cuscuta,sp,NA,Convolvulaceae,NA,Cuscuta,Cuscuta sp,NA,NA,
Cyanicula,Cyanicula,sp,NA,Orchidaceae,NA,Cyanicula,Cyanicula sp,NA,NA,
Diuris,Diuris,sp,NA,Orchidaceae,NA,Diuris,Diuris sp,NA,NA,
Lepidium,Lepidium,sp,NA,Brassicaceae,NA,Lepidium,Lepidium sp,NA,NA,
Lepidium,Lepidium,sp,NA,Brassicaceae,NA,Lepidium,Lepidium sp,NA,NA,
Pheladenia,Pheladenia,deformis.,NA,Orchidaceae,NA,Pheladenia,Pheladenia deformis.,NA,NA,
Sida,Sida,sp,NA,Malvaceae,NA,Sida,Sida sp,NA,NA,
Stylidium,Stylidium,sp,NA,Stylidiaceae,NA,Stylidium,Stylidium sp,NA,NA,
Wurmbea,Wurmbea,sp,NA,Colchicaceae,NA,Wurmbea,Wumrbea sp,NA,NA,
NEAL,Neurachne,alopercuroidea,grass,Poaceae,green,NEAL,Neurachne alopercuroidea,NA,NA,
NIRO,Nicotiana,rotundifolia,forb,Solanaceae,white,NIRO,Nicotiana rotundifolia,NA,NA,
OAKI,NA,NA,NA,Unknown,,,,,,Unknown
OAKY,NA,NA,NA,Unknown,,,,,,Unknown
OMCO,Omphalolappula,concava,NA,Boraginaceae,NA,OMCO,Omphalolappula concava,NA,NA,
OPLU,Ophioglossum,lusitanicum,fern,Ophioglossaceae,green,OPLU,Ophioglossum lusitanicum,NA,NA,
OPSP,Opercularia,spermacocea,NA,Rubiaceae,NA,OPSP,Opercularia spermacocea,NA,NA,
OPVA,Opercularia,vaginata,forb,Rubiaceae,green,OPVA,Opercularia vaginata,NA,NA,
OXPE,Oxalis,perennans,forb,Oxalidaceae,yellow,OXPE,Oxalis perennans,NA,NA,
PACA,Parietaria,cardiostegia,NA,Urticaceae,NA,PACA,Parietaria cardiostegia,NA,NA,
PALA,Parentucellia,latifolia,forb,Orobanchaceae,red,PALA,Parentucellia latifolia,NA,NA,
PEAI,Pentameris,airoides,grass,Poaceae,green,PEAI,Pentameris airoides,NA,NA,
PEDU,Petrorhagia,dubia,forb,Caryophyllaceae,pink,PEDU,Petrorhagia dubia,NA,NA,
PHSU,Phyllangium,sulcatum,forb,Loganiaceae,white,PHSU,Phyllangium sulcatum,NA,NA,
PIIM,Pimelea,imbricata,NA,Thymelaeaceae,NA,PIIM,Pimelea imbricata,NA,NA,
PLCO,Plantago,coronopus,NA,Plantaginaceae,NA,PLCO,Plantago coronopus,NA,NA,
PLDE,Plantago,debilis,forb,Plantaginaceae,green,PLDE,Plantago debilis,NA,NA,
POAN,Podotheca,angustifolia,forb,Asteraceae,yellow,POAN,Podotheca angustifolia,NA,NA,
POAR,Podolepis,canescens,forb,Asteraceae,yellow,POAR,Podolepis aristata,NA,Podolepis canescens,
POCA,Podolepis,canescens,forb,Asteraceae,yellow,POAR,Podolepis aristata,NA,NA,
POCAP,Podolepis,capillaris,NA,Asteraceae,NA,POCAP,Podolepis capillaris,NA,NA,
POGN,Podotheca,gnaphalioides,forb,Asteraceae,yellow,POGN,Podotheca gnaphalioides,NA,NA,
POLE,Podolepis,lessonii,forb,Asteraceae,yellow,POLE,Podolepis lessonii,NA,Panaetia lessonii,
POMI,Poranthera,microphylla,forb,Phyllanthaceae,white,POMI,Poranthera microphylla,NA,NA,
POMU,Pogonolepis,muelleriana,forb,Asteraceae,white,POMU,Pogonolepis muelleriana,NA,NA,
POTE,Polycarpon,tetraphyllum,NA,Caryophyllaceae,NA,POTE,Polycarpon tetraphyllum,NA,NA,
PRGR,Prasophyllum,gracile,forb,Orchidaceae,green,PRGR,Prasophyllum gracile,NA,NA,
PTERO,Pterostylis,,forb,Orchidaceae,green,PTERO,Pterostylis sp,NA,NA,not sure for name
PTBR,Pterostylis,brunneola,forb,Orchidaceae,green,PTBR,Pterostylis brunneola,NA,NA,
PTDE,Ptilotus,declinatus,NA,Amaranthaceae,NA,PTDE,Ptilotus declinatus,NA,NA,
PTDR,Ptilotus,drummondii,NA,Amaranthaceae,NA,PTDR,Ptilotus drummondii,NA,NA,
PTER,Ptilotus,eremita,NA,Amaranthaceae,NA,PTER,Ptilotus eremita,NA,NA,
PTEX,Ptilotus,exaltatus,NA,Amaranthaceae,NA,PTEX,Ptilotus exaltatus,NA,NA,
PTGA,Ptilotus,gaudichaudii,NA,Amaranthaceae,NA,PTGA,Ptilotus gaudichaudii,NA,NA,
PTHO,Ptilotus,holosericeus,NA,Amaranthaceae,NA,PTHO,Ptilotus holosericeus,NA,NA,
PTPO,Ptilotus,polystachyus,NA,Amaranthaceae,NA,PTPO,Ptilotus polystachyus,NA,NA,
PTSP,Ptilotus,spathulatus,NA,Amaranthaceae,NA,PTSP,Ptilotus spathulatus,NA,NA,
QUUR,Quinetia,urvillei,NA,Asteraceae,NA,QUUR,Quinetia urvillei,NA,NA,
RARU,Rapistrum,rugosum,NA,Brassicaceae,NA,RARU,Rapistrum rugosum,NA,NA,
RHCH,Rhodanthe,chlorocephala,NA,Asteraceae,NA,RHCH,Rhodanthe chlorocephala,NA,NA,
RHCI,Rhodanthe,citrina,forb,Asteraceae,yellow,RHCY,Rhodanthe citrina,NA,NA,
RHCY,Rhodanthe,citrina,forb,Asteraceae,yellow,RHCY,Rhodanthe citrina,NA,NA,
RHHU,Rhodanthe,humboldtiana,NA,Asteraceae,NA,RHHU,Rhodanthe humboldtiana,NA,NA,
RHLA,Rhodanthe,laevis,forb,Asteraceae,yellow,RHLE,Rhodanthe laevis,NA,NA,
RHLE,Rhodanthe,laevis,forb,Asteraceae,yellow,RHLE,Rhodanthe laevis,NA,NA,
RHMA,Rhodanthe,manglesii,forb,Asteraceae,pink,RHMA,Rhodanthe manglesii,NA,NA,
RHMAR,Rhodanthe,maryonii,NA,Asteraceae,NA,RHMAR,Rhodanthe maryonii,NA,NA,
RHPO,Rhodanthe,polycephala,forb,Asteraceae,yellow,RHPO,Rhodanthe polycephala,NA,NA,
RHPY,Rhodanthe,pygmaea,NA,Asteraceae,NA,RHPY,Rhodanthe pygmaea,NA,NA,
RHSP,Rhodanthe,spicata,NA,Asteraceae,NA,RHSP,Rhodanthe spicata,NA,NA,
ROIO,Roepera,iodocarpa,NA,Zygophyllaceae,NA,ROIO,Roepera iodocarpa,NA,NA,
ROPU,Rostraria,pumila,NA,Poaceae,NA,ROPU,Rostraria pumila,NA,NA,
RORO,Romulea,rosea,NA,Iridaceae,NA,RORO,Romulea rosea,NA,NA,
ROSSET,NA,NA,NA,NA,NA,ROSSET,Rosette,NA,NA,
RUHY,Rumex,hypogaeus,NA,Polygonaceae,NA,RUHY,Rumex hyopgaeus,NA,Emex australis,
RYCA,Rytidosperma,caespitosum,NA,Poaceae,NA,RYCA,Rytidosperma caespitosum,NA,NA,
RYTIDO,Rytidosperma,NA,NA,Poaceae,NA,RYTIDO,Rytidosperma sp,NA,NA,
SAAC,Santalum,acuminatum,NA,Santalaceae,NA,SAAC,Santalum acuminatum,NA,NA,
SASP,Santalum,spicatum,NA,Santalaceae,NA,SASP,Santalum spicatum,NA,NA,
SCCA,Schoenia,cassiniana,forb,Asteraceae,pink,SCCA,Schoenia cassiniana,NA,NA,
SCECA,Scaevola,canescens,NA,Goodeniaceae,NA,SCECA,Scaevola canescens,NA,NA,
SCER,Sclerolaena,eriacantha,NA,Chenopodiaceae,NA,SCER,Sclerolaena eriacantha,NA,NA,
SCHOENUS,Schoenus,,grass,Cyperaceae,green,SCHOENUS,Schoenus sp,NA,NA,
SCNA,Schoenus,nanus,grass,Cyperaceae,green,SCNA,Schoenus nanus,NA,NA,
SEGL,Senecio,glossanthus,NA,Asteraceae,NA,SEGL,Senecio glossanthus,NA,NA,
SIGA,Silene,gallica,NA,Caryophyllaceae,NA,SIGA,Silene gallica,NA,NA,
SINO,Silene,nocturna,NA,Caryophyllaceae,NA,SINO,Silene nocturna,NA,NA,
SOOL,Sonchus,oleraceus,NA,Asteraceae,NA,SOOL,Sonchus oleraceus,NA,NA,
SPAR,Spergula,arvensis,NA,Caryophyllaceae,NA,SPAR,Spergula arvensis,NA,NA,
STFI,Stenopetalum,filifolium,NA,Brassicaceae,NA,STFI,Stenopetalum filifolium,NA,NA,
STLI,Stenopetalum,lineare,NA,Brassicaceae,NA,STLI,Stenopetalum lineare,NA,NA,
STMO,Stackhousia,monogyna,forb,Celastraceae,white,STMO,Stackhousia monogyna,NA,NA,
THAN,Thelymitra,antennifera,NA,Orchidaceae,NA,THAN,Thelymitra antennifera,NA,NA,
THMA,Thysanotus,manglesianus,NA,Asparagaceae,NA,THMA,Thysanotus manglesianus,NA,NA,
THRE,Thysanotus,rectantherus,forb,Asparagaceae,purple,THRE,Thysanotus rectantherus,NA,NA,
THYZ,Thysanotus,NA,forb,Asparagaceae,purple,THRE,Thysanotus sp,NA,NA,
THYZA,Thysanotus,NA,forb,Asparagaceae,purple,THRE,Thysanotus sp,NA,NA,
TR,Trachymene,NA,forb,Araliaceae,white,TR,Trachymene sp,NA,NA,
TRCY,Trachymene,cyanopetala,forb,Araliaceae,white,TRCY,Trachymene cyanopetala,NA,NA,
TRGL,Trifolium,glomeratum,NA,Fabaceae,NA,TRGL,Trifolium glomeratum,NA,NA,
TRHI,Trifolium,hirtum,NA,Fabaceae,NA,TRHI,Trifolium hirtum,NA,NA,
TRIS,Triglochin,isingiana,NA,Juncaginaceae,NA,TRIS,Triglochin isingiana,NA,NA,
TROR,Trachymene,ornata,forb,Araliaceae,white,TROR,Trachymene ornata,NA,NA,
TRPI,Trachymene,pilosa,forb,Araliaceae,white,TRPI,Trachymene pilosa,NA,NA,
TRSU,Trifolium,subterraneum,NA,Fabaceae,NA,TRSU,Trifolium subterraneum,NA,NA,
URAN,Ursinia,anthemoides,forb,Asteraceae,yellow,URAN,Ursinia anthemoides,NA,NA,
URPI,Urospermum,picroides,NA,Asteraceae,NA,URPI,Urospermum picroides,NA,NA,
VECY,Velleia,cycnopotamica,forb,Goodeniaceae,pink,GOCY,Velleia cycnopotamica,NA,NA,
VERO,Velleia,rosea,forb,Goodeniaceae,pink,GORO,Goodenia rosea,NA,NA,
VILI,Vincetoxicum,lineare,NA,Apocynaceae,NA,VILI,Vincetoxicum lineare,NA,NA,
VUBR,Vulpia,bromoides,grass,Poaceae,green,VUBR,Vulpia bromoides,NA,NA,
VUMY,Vulpia,myuros,grass,Poaceae,green,VUMY,Vulpia myuros,NA,NA,
WAAC,Waitzia,acuminata,forb,Asteraceae,yellow,WAAC,Waitzia acuminata,NA,NA,
WACA,Wahlenbergia,capensis,forb,Campanulaceae,blue,WACA,Wahlenbergia capensis,NA,NA,
WAGR,Wahlenbergia,gracilenta,forb,Campanulaceae,blue,WAGR,Wahlenbergia gracilenta,NA,NA,
WANI,Waitzia,nitida,NA,Asteraceae,NA,WANI,Waitzia nitida,NA,NA,
WUDE,Wurmbea,densiflora,NA,Colchicaceae,NA,WUDE,Wurmbea densiflora,NA,NA,
WUDI,Wurmbea,dioica,forb,Colchicaceae,pink/white,WUDI,Wurmbea dioica,NA,NA,
WUDU,Wurmbea,drummondii,NA,Colchicaceae,NA,WUDU,Wurmbea drummondii,NA,NA,
WUTE,Wurmbea,tenella,NA,Colchicaceae,NA,WUTE,Wurmbea tenella,NA,NA,
ZADI,Zaluzianskya,divaricata,NA,Scrophulariaceae,NA,ZADI,Zaluzianskya divaricata,NA,NA,
STPA,,,,Unknown,,,,,,Unknown
MEDU,,,,Unknown,,,,,,Unknown
BRRD,,,,Unknown,,,,,,Unknown
BRTU,,,,Unknown,,,,,,Unknown
EMAU,,,,Unknown,,,,,,Unknown