year,focal.code,focal,germination,survival
2015,BEMA,beta_macrocarpa,38,43
2015,CETE,centaurium_tenuiflorum,53,1
2015,CHFU,chamaemelum_fuscatum,8,38
2015,CHMI,chamaemelum_mixtum,76,32
2015,FRPU,NA,NA,
2015,HOMA,hordeum_marinum,94,25
2015,LEMA,Leontodon_maroccanus,89,33
2015,LYTR,lythrum_tribracteatum,62,51
2015,MEEL,melilotus_elegans,59,6
2015,MESU,melilotus_sulcatus,77,63
2015,PAIN,parapholis_incurva,33,6
2015,PLCO,plantago_coronopus,84,57
2015,POMA,polypogon_maritimus,85,46
2015,POMO,polypogon_monspeliensis,91,49
2015,PUPA,pulicaria_paludosa,84,55
2015,RAPE,NA,NA,
2015,SASO,salsola_soda,52,3
2015,SCLA,scorzonera_laciniata,69,41
2015,SOAS,sonchus_asper,6,29
2015,SPRU,spergularia_rubra,44,41
2015,SUSP,suaeda_splendens,61,58