number,species,family,code.plant,class,Native.sp,rareORabundant,code.analysis
23,Achicoria sp,Asteraceae,ACHI,Forb,NA,rare,rare
24,Anagallis arvensis,Primulacea,ANAR,Forb,NA,rare,rare
28,NA,NA,ARTE,NA,NA,NA,rare
1,Beta macrocarpa,Amaranthaceae,BEMA,Forb,Native Annual Forb,rare,BEMA
4,Centaurium tenuiflorum,Gentianaceae,CETE,Forb,Native Annual Forb,abundant,CETE
2,Chamaemelum fuscatum,Asteraceae,CHFU,Forb,Native Annual Forb,abundant,CHFU
3,Chamaemelum mixtum,Asteraceae,CHMI,Forb,Native Annual Forb,rare,rare
5,Coronopus squamatus,Brassicaceae,COSQ,Forb,Native Annual Forb,rare,rare
26,NA,NA,CRCR,NA,NA,NA,rare
27,NA,NA,DA,NA,NA,NA,rare
6,Frankenia pulverulenta,Frankeniaceae,FRPU,Forb,Native Annual Forb,rare,rare
7,Hordeum marinum,Poaceae,HOMA,Grass,Native Annual Grass,abundant,HOMA
8,Leontodon maroccanus,Asteraceae,LEMA,Forb,Native Annual Forb,abundant,LEMA
9,Lythrum tribracteatum,Lythraceae,LYTR,Forb,Native Annual Forb,rare,rare
10,Melilotus elengans,Fabaceae,MEEL,Forb,Native Annual Forb,rare,ME.sp
25,NA,Fabaceae,MEPO,Forb,NA,rare,rare
11,Melilotus sulcatus,Fabaceae,MESU,Forb,Native Annual Forb,rare,ME.sp
29,NA,Poaceae,NEWGRASS,Grass,NA,NA,rare
16,Parapholis incurva,Poaceae,PAIN,Grass,Native Annual Grass,abundant,PAIN
12,Plantago coronopus,Plantaginaceae,PLCO,Forb,Native Annual Forb,rare,PLCO
14,Polypogon martinus,Poaceae,POMA,Grass,Native Annual Grass,abundant,PO.sp
13,Polypogon monspeliensis,Poaceae,POMO,Grass,Native Annual Grass,rare,PO.sp
15,Pulicaria paludosa,Asteraceae,PUPA,Forb,Native Annual Forb,abundant,rare
22,Ranunculus peltatus,Ranunculuc,RAPE,Forb,Native Annual Forb,rare,rare
17,Salsola soda,Amaranthaceae,SASO,Forb,Native Annual Forb,abundant,SASO
18,Scorzonera laciniata,Asteraceae,SCLA,Forb,Native Annual Forb,rare,SCLA
20,Sonchus asper,Asteraceae,SOAS,Forb,Native Annual Forb,rare,rare
19,Spergularia rubra,Caryophyllaceae,SPRU,Forb,Native Annual Forb,rare,SPRU
21,Suaeda splendens,Amaranthaceae,SUSP,Forb,Native Annual Forb,rare,rare