species,code.plant,code.analysis,flowerwidth_range_mm,inflorenscence.cm,floret.mm,seed_size_range_long_wide_mm,seed_size_longest,comments
beta_macrocarpa,BEMA,BEMA,1.5_3 ,2.25,2.25,,,
centaurium_tenuiflorum,CETE,CETE,13_15,,12,0.25_0.40,0.325,
chamaemelum_fuscatum,CHFU,CHFU,24_30,,27,11.3,,capitulum
hordeum_murinum,HOMA,HOMA,14_19,16.5,17,11_12,11,"inflorescence data, per floret (14 to 19 mm), also it is murinum, not marinum"
Leontodon_maroccanus,LEMA,LEMA,9_16,,12.5,1.5-2.2,1.875,capitulum
melilotus_elegans,MEEL,ME.sp,4_5,12,4.5,2.5_2,2.5,"per flower, inflorescences up to 12cm"
melilotus_sulcatus,MESU,ME.sp,,,4.5,,,
plantago_coronopus,PLCO,PLCO,1.8_3,4-Jan,2.4,0.8-1.6 x 0.5-0.8 mm,1.6,inflorescence (20 - 70mm)
polypogon_maritimus,POMA,PO.sp,1.3_2.5,55,1.9,"0,6 x 0,3 mm",,"inflorence 10-100, 1,3-2,5 mm per floret"
polypogon_monspeliensis,POMO,PO.sp,,,1.9,,,
salsola_soda,SASO,SASO,2.5 _3.5,3,3,3_4 mm,,
scorzonera_laciniata,SCLA,SCLA,25,25,25,8_17 mm,,
spergularia_rubra,SPRU,SPRU,5_8,6.5,6.5,45 mm,,
Parapholis_incurva,PAIN,PAIN,5_6,7,5.5,,,"inflorescence 3 - 8, up to 12cm"