aus_pdsi,year,month,year.month
0.039339466577721194,2004,1,2004_1
0.4261454697267777,2004,2,2004_2
-0.7877650348936975,2004,3,2004_3
-0.9994368539497077,2004,4,2004_4
0.6269379029619487,2004,5,2004_5
0.8238290817940711,2004,6,2004_6
0.7918119456123455,2004,7,2004_7
-0.4694449702063838,2004,8,2004_8
0.45890345762222046,2004,9,2004_9
0.4460254477610669,2004,10,2004_10
0.40958344044982997,2004,11,2004_11
-0.1408589182273477,2004,12,2004_12
-0.9101602980260204,2005,1,2005_1
-1.4922363340533806,2005,2,2005_2
0.34220582238783265,2005,3,2005_3
0.1184544419443706,2005,4,2005_4
1.6247347866017376,2005,5,2005_5
2.2284686223301966,2005,6,2005_6
-1.2291968109086548,2005,7,2005_7
-0.535600307004735,2005,8,2005_8
-0.48078189409386496,2005,9,2005_9
-0.5608335747921485,2005,10,2005_10
-0.9587413275867035,2005,11,2005_11
-1.3204780732440788,2005,12,2005_12
2.9206763192705854,2006,1,2006_1
3.104746267208537,2006,2,2006_2
-0.4255601408599902,2006,3,2006_3
-0.08273910187372022,2006,4,2006_4
-0.7532127342143721,2006,5,2006_5
-1.575248510780205,2006,6,2006_6
-2.0893984491626973,2006,7,2006_7
-2.737270715983656,2006,8,2006_8
-2.6323116410749163,2006,9,2006_9
-3.1719213235515555,2006,10,2006_10
-3.543998490425643,2006,11,2006_11
-2.9470178979693493,2006,12,2006_12
-2.9408287537661826,2007,1,2007_1
-3.1544758333324285,2007,2,2007_2
-3.519295716891846,2007,3,2007_3
-3.661714765844957,2007,4,2007_4
-3.619600030856583,2007,5,2007_5
-3.971623847000859,2007,6,2007_6
-3.335043771822061,2007,7,2007_7
-3.7967394288423977,2007,8,2007_8
-3.7589968434076653,2007,9,2007_9
-3.688160251781782,2007,10,2007_10
-3.8948337698920454,2007,11,2007_11
-3.3973727419710174,2007,12,2007_12
-3.727468463654064,2008,1,2008_1
1.4881279985183837,2008,2,2008_2
1.425314117830103,2008,3,2008_3
1.70464054169528,2008,4,2008_4
-0.8880135534775055,2008,5,2008_5
-1.1259861658862242,2008,6,2008_6
-0.2874189255113601,2008,7,2008_7
-0.610468632730242,2008,8,2008_8
-0.7606989274134859,2008,9,2008_9
-0.6291553695433425,2008,10,2008_10
-0.810990618832919,2008,11,2008_11
-0.9506344371483096,2008,12,2008_12
-0.33283628898622547,2009,1,2009_1
-0.9505497911339352,2009,2,2009_2
-1.566865047940134,2009,3,2009_3
-1.8222924273262051,2009,4,2009_4
0.1199238593335956,2009,5,2009_5
0.2614417691968409,2009,6,2009_6
0.6504202084718688,2009,7,2009_7
0.4113143414741342,2009,8,2009_8
0.5608093673260672,2009,9,2009_9
0.36518617796064456,2009,10,2009_10
0.5764378562844811,2009,11,2009_11
0.6960595982239755,2009,12,2009_12
-0.8122712745270156,2010,1,2010_1
-1.4887709475435509,2010,2,2010_2
-1.5488883362648198,2010,3,2010_3
-1.878401541944901,2010,4,2010_4
-2.082883281043175,2010,5,2010_5
-2.3060600127441937,2010,6,2010_6
-2.2505903741192657,2010,7,2010_7
-1.666194121208469,2010,8,2010_8
-1.3966738902315887,2010,9,2010_9
-1.5943205466630064,2010,10,2010_10
-1.9164351134936872,2010,11,2010_11
-1.3790360390756158,2010,12,2010_12
-0.8056997999081033,2011,1,2011_1
-1.0523490470452492,2011,2,2011_2
-1.2240759849915779,2011,3,2011_3
-1.5992486302284963,2011,4,2011_4
0.5846095017132112,2011,5,2011_5
1.1010556939143006,2011,6,2011_6
1.8333771194119806,2011,7,2011_7
2.0175624382794433,2011,8,2011_8
2.4352809206701713,2011,9,2011_9
4.279546436999017,2011,10,2011_10
4.578844308349936,2011,11,2011_11
5.106138964406865,2011,12,2011_12
-0.16988078287908884,2012,1,2012_1
-0.35111429923143084,2012,2,2012_2
-1.0837981762769628,2012,3,2012_3
-1.4027045102991695,2012,4,2012_4
-1.6657077684845916,2012,5,2012_5
-0.06503080086611898,2012,6,2012_6
-0.9596649131561005,2012,7,2012_7
-1.353396895202942,2012,8,2012_8
-1.1098823495389156,2012,9,2012_9
-1.2302462292645604,2012,10,2012_10
1.5131295664866886,2012,11,2012_11
3.11159913250322,2012,12,2012_12
2.797622669968465,2013,1,2013_1
1.938224983744896,2013,2,2013_2
2.192893634625416,2013,3,2013_3
1.9967471132606798,2013,4,2013_4
2.4428518056805597,2013,5,2013_5
-0.9958269850072269,2013,6,2013_6
-1.1786528839808261,2013,7,2013_7
-0.8642024899692037,2013,8,2013_8
-0.45574623221476085,2013,9,2013_9
-0.3142877093916093,2013,10,2013_10
-0.5759049104390946,2013,11,2013_11
-0.7773329328349465,2013,12,2013_12
-1.2371845010944829,2014,1,2014_1
-1.692528214657966,2014,2,2014_2
-1.8141281664570241,2014,3,2014_3
0.7305189035820222,2014,4,2014_4
0.9166497728446285,2014,5,2014_5
-0.5238442069992352,2014,6,2014_6
-0.8504074782415383,2014,7,2014_7
-1.1931509008383097,2014,8,2014_8
0.9184763494788314,2014,9,2014_9
1.451777724983268,2014,10,2014_10
1.9339327011682632,2014,11,2014_11
1.807948094089988,2014,12,2014_12
1.7538412991328258,2015,1,2015_1
2.0819511736343426,2015,2,2015_2
3.2858526834988098,2015,3,2015_3
3.6739700951153034,2015,4,2015_4
2.870103552065563,2015,5,2015_5
3.216280769532697,2015,6,2015_6
3.609140297272969,2015,7,2015_7
3.9408978408802704,2015,8,2015_8
-0.6610633768959949,2015,9,2015_9
-1.1952880745278984,2015,10,2015_10
-1.0215662195076811,2015,11,2015_11
-1.3500523485990272,2015,12,2015_12
-0.7435926802831507,2016,1,2016_1
-1.5077908059143392,2016,2,2016_2
0.34558230746409685,2016,3,2016_3
1.3013812373204952,2016,4,2016_4
0.05083136741833331,2016,5,2016_5
-0.23939307829395162,2016,6,2016_6
0.2721172033825294,2016,7,2016_7
0.31873877813340235,2016,8,2016_8
-0.16867786791445358,2016,9,2016_9
-0.2908021025173498,2016,10,2016_10
-0.7359048290600908,2016,11,2016_11
-1.1209766492585183,2016,12,2016_12
-1.1607769330326165,2017,1,2017_1
0.667341065010555,2017,2,2017_2
-0.5261600962400925,2017,3,2017_3
-1.0682446404284993,2017,4,2017_4
-1.5458596858114622,2017,5,2017_5
-2.3400268737969974,2017,6,2017_6
-2.5578172401614774,2017,7,2017_7
0.43824643019027104,2017,8,2017_8
0.473443794484829,2017,9,2017_9
0.33107561853807504,2017,10,2017_10
0.039812465258360755,2017,11,2017_11
0.02367720594584729,2017,12,2017_12
1.3310502398284452,2018,1,2018_1
1.6794972176907004,2018,2,2018_2
-0.22871450999136425,2018,3,2018_3
-0.6961881229611119,2018,4,2018_4
-0.6357282338231359,2018,5,2018_5
-0.6741878952715897,2018,6,2018_6
0.354128764413462,2018,7,2018_7
0.7352214644697034,2018,8,2018_8
-0.6576731238915564,2018,9,2018_9
0.4860351065459876,2018,10,2018_10
0.5756685586512568,2018,11,2018_11
-0.1513256503092757,2018,12,2018_12
-0.8477155497457981,2019,1,2019_1
-1.1640051152307929,2019,2,2019_2
-1.4780876318010587,2019,3,2019_3
-1.3652267366456023,2019,4,2019_4
-2.0538578175908797,2019,5,2019_5
1.816939335545934,2019,6,2019_6
-0.230927429861581,2019,7,2019_7
-0.7642354166565848,2019,8,2019_8
-1.4011966379278016,2019,9,2019_9
-1.4902239749278232,2019,10,2019_10
-1.873428832791431,2019,11,2019_11
-2.147893089800756,2019,12,2019_12
-2.474545954675745,2020,1,2020_1
1.6687936272999233,2020,2,2020_2
1.927639748276517,2020,3,2020_3
-0.34419162279343246,2020,4,2020_4
-0.2526464133764343,2020,5,2020_5
-0.5420191801279668,2020,6,2020_6
-0.8356349782759098,2020,7,2020_7
-0.5529452081682383,2020,8,2020_8
-0.9253995050648605,2020,9,2020_9
-1.1293966290817608,2020,10,2020_10
0.19715352959389162,2020,11,2020_11
-0.10139732537624978,2020,12,2020_12
-0.3206330067206507,2021,1,2021_1
0.7389417945484532,2021,2,2021_2
2.028913643934875,2021,3,2021_3
2.8047196208628526,2021,4,2021_4
3.782055841597832,2021,5,2021_5
3.5055409426615403,2021,6,2021_6
4.530335577722209,2021,7,2021_7
3.3894210718722833,2021,8,2021_8
2.7226128898704944,2021,9,2021_9
2.7364956480956932,2021,10,2021_10
2.6328507240143026,2021,11,2021_11
2.0749577040606377,2021,12,2021_12
1.3979707791208489,2022,1,2022_1
1.1048056647473963,2022,2,2022_2
1.8666529333391921,2022,3,2022_3
2.2453350493315543,2022,4,2022_4
1.9626989975515345,2022,5,2022_5
1.5637410175886148,2022,6,2022_6
1.6138488348406765,2022,7,2022_7
3.359089804093559,2022,8,2022_8
3.926782540654876,2022,9,2022_9
-0.022183115519586058,2022,10,2022_10
-0.08990264398562615,2022,11,2022_11
-0.3896358546093488,2022,12,2022_12
-0.7852170410223486,2023,1,2023_1
-1.4571177804611182,2023,2,2023_2
-1.2659049873222388,2023,3,2023_3
-1.5998052970583694,2023,4,2023_4
-1.9588234750837763,2023,5,2023_5
-1.8008251543215608,2023,6,2023_6
-2.1332451227777462,2023,7,2023_7
-2.324424385719989,2023,8,2023_8
-2.1012966403496085,2023,9,2023_9
-2.2093526311379765,2023,10,2023_10
-1.5838431035095808,2023,11,2023_11
-1.7866650406282163,2023,12,2023_12
